leftX,leftY,rightX,rightY
(0.27743983268737793, 0.0878191590309143),(0.2826608419418335, 0.03483670949935913)
(0.27743983268737793, 0.0878191590309143),(0.28475719690322876, 0.03048383630812168)
(0.27594050765037537, 0.09305194020271301),(0.28697988390922546, 0.02983829751610756)
(0.27693769335746765, 0.08864762634038925),(0.2859935462474823, 0.029578153043985367)
(0.27693769335746765, 0.08864762634038925),(0.28170046210289, 0.038136184215545654)
(0.2792927622795105, 0.07983512431383133),(0.275543749332428, 0.029346169903874397)
(0.273733526468277, 0.06865119189023972),(0.27514636516571045, 0.027272365987300873)
(0.273733526468277, 0.06865119189023972),(0.272623747587204, 0.01282033883035183)
(0.2785855233669281, 0.07413142174482346),(0.2743585407733917, 0.018528085201978683)
(0.2805057168006897, 0.08219914883375168),(0.2711029648780823, 0.01660481095314026)
(0.2805057168006897, 0.08219914883375168),(0.2694534957408905, 0.02544044516980648)
(0.2767801284790039, 0.07708780467510223),(0.2722853422164917, 0.027920274063944817)
(0.2766130268573761, 0.07554551213979721),(0.2778185307979584, 0.0279560387134552)
(0.2766130268573761, 0.07554551213979721),(0.28507688641548157, 0.027906233444809914)
(0.28385820984840393, 0.08065925538539886),(0.28559285402297974, 0.01966998167335987)
(0.28924012184143066, 0.0870392844080925),(0.28432798385620117, 0.02011183463037014)
(0.28924012184143066, 0.0870392844080925),(0.28370192646980286, 0.014568153768777847)
(0.2779519557952881, 0.08157012611627579),(0.28225576877593994, 0.020414141938090324)
(0.2725135087966919, 0.07857213169336319),(0.28099745512008667, 0.019327282905578613)
(0.2725135087966919, 0.07857213169336319),(0.2796917259693146, 0.026540331542491913)
(0.27173295617103577, 0.08538267761468887),(0.28106391429901123, 0.032073039561510086)
(0.2688717842102051, 0.09466571360826492),(0.28043654561042786, 0.03126544877886772)
(0.2688717842102051, 0.09466571360826492),(0.28136470913887024, 0.027040814980864525)
(0.27900007367134094, 0.09996554255485535),(0.28252625465393066, 0.016886526718735695)
(0.28182172775268555, 0.08999447524547577),(0.2827549874782562, 0.023837851360440254)
(0.28182172775268555, 0.08999447524547577),(0.283282995223999, 0.03015769273042679)
(0.2778453826904297, 0.08302868157625198),(0.2802218496799469, 0.032300349324941635)
(0.2802605926990509, 0.07499614357948303),(0.2784600257873535, 0.02757921814918518)
(0.2802605926990509, 0.07499614357948303),(0.27653810381889343, 0.0261729434132576)
(0.2840275466442108, 0.07457543909549713),(0.2745716869831085, 0.02828800305724144)
(0.281389445066452, 0.080628402531147),(0.27355119585990906, 0.02347111515700817)
(0.281389445066452, 0.080628402531147),(0.26865583658218384, 0.022737501189112663)
(0.2748532295227051, 0.07687187939882278),(0.2692256569862366, 0.017075685784220695)
(0.2719270884990692, 0.08892014622688293),(0.2707749903202057, 0.015546930953860283)
(0.2719270884990692, 0.08892014622688293),(0.2806224226951599, 0.014641799032688141)
(0.2751064598560333, 0.09687373042106628),(0.2829572856426239, 0.01876472309231758)
(0.2815018892288208, 0.08345284312963486),(0.286420077085495, 0.02195475623011589)
(0.2815018892288208, 0.08345284312963486),(0.28126782178878784, 0.02155718207359314)
(0.2782440483570099, 0.07884000986814499),(0.2791617214679718, 0.027232728898525238)
(0.2745867073535919, 0.08208510279655457),(0.2764851748943329, 0.0292085949331522)
(0.2745867073535919, 0.08208510279655457),(0.278317928314209, 0.029081301763653755)
(0.26992854475975037, 0.07934010028839111),(0.2816629409790039, 0.02905069850385189)
(0.2740066945552826, 0.08133978396654129),(0.28613489866256714, 0.029415016993880272)
(0.2740066945552826, 0.08133978396654129),(0.28457000851631165, 0.03316356986761093)
(0.28238964080810547, 0.08743859827518463),(0.2771516442298889, 0.0321643128991127)
(0.28201571106910706, 0.08720923215150833),(0.2747240364551544, 0.028362229466438293)
(0.28201571106910706, 0.08720923215150833),(0.27258816361427307, 0.02553643099963665)
(0.2798203229904175, 0.08457142859697342),(0.2724767029285431, 0.027069836854934692)
(0.2799089550971985, 0.08041338622570038),(0.27151331305503845, 0.025763433426618576)
(0.2799089550971985, 0.08041338622570038),(0.2763955593109131, 0.01929519698023796)
(0.275114506483078, 0.08656857162714005),(0.2832583487033844, 0.015892259776592255)
(0.27131178975105286, 0.09298793226480484),(0.2864760756492615, 0.020919619128108025)
(0.27131178975105286, 0.09298793226480484),(0.2827879786491394, 0.02619783952832222)
(0.27713847160339355, 0.0895838662981987),(0.27975738048553467, 0.023165833204984665)
(0.2832554876804352, 0.08418119698762894),(0.27745330333709717, 0.022075925022363663)
(0.2832554876804352, 0.08418119698762894),(0.2795383930206299, 0.017539121210575104)
(0.28616997599601746, 0.07615643739700317),(0.28225472569465637, 0.027623988687992096)
(0.28182244300842285, 0.09005411714315414),(0.2833118438720703, 0.020874086767435074)
(0.28182244300842285, 0.09005411714315414),(0.28286999464035034, 0.023317541927099228)
(0.27980297803878784, 0.0995950922369957),(0.2814182639122009, 0.017405476421117783)
(0.28214025497436523, 0.08519800007343292),(0.2811416685581207, 0.02193284034729004)
(0.28214025497436523, 0.08519800007343292),(0.2813578248023987, 0.01872776634991169)
(0.28883159160614014, 0.07911896705627441),(0.284208208322525, 0.018874766305088997)
(0.2865947186946869, 0.08438200503587723),(0.2830413281917572, 0.02242373116314411)
(0.2865947186946869, 0.08438200503587723),(0.2817920744419098, 0.026176724582910538)
(0.28264856338500977, 0.09139256924390793),(0.27838951349258423, 0.031034477055072784)
(0.28259724378585815, 0.09423907101154327),(0.28102195262908936, 0.03365548327565193)
(0.28259724378585815, 0.09423907101154327),(0.28381234407424927, 0.03764438256621361)
(0.28184518218040466, 0.08198082447052002),(0.28228333592414856, 0.03358685225248337)
(0.28629472851753235, 0.08945658057928085),(0.28085875511169434, 0.028772691264748573)
(0.28629472851753235, 0.08945658057928085),(0.2777773141860962, 0.02785363607108593)
(0.2808607518672943, 0.08332383632659912),(0.28011995553970337, 0.028482524678111076)
(0.278692364692688, 0.06941501796245575),(0.27846887707710266, 0.029676688835024834)
(0.278692364692688, 0.06941501796245575),(0.2801055908203125, 0.029124757274985313)
(0.2763713598251343, 0.07549887895584106),(0.27748605608940125, 0.033057134598493576)
(0.2746749222278595, 0.0860348641872406),(0.27721479535102844, 0.03096967190504074)
(0.2746749222278595, 0.0860348641872406),(0.27196773886680603, 0.031519632786512375)
(0.2759171724319458, 0.07540802657604218),(0.2720920145511627, 0.026860587298870087)
(0.2737521827220917, 0.06624476611614227),(0.2732304036617279, 0.023080701008439064)
(0.2737521827220917, 0.06624476611614227),(0.2761043608188629, 0.01734120212495327)
(0.28180551528930664, 0.08251889050006866),(0.27636101841926575, 0.01750262640416622)
(0.2816125452518463, 0.07746811956167221),(0.2770915925502777, 0.021809948608279228)
(0.2816125452518463, 0.07746811956167221),(0.28118041157722473, 0.026049761101603508)
(0.2759360671043396, 0.07541387528181076),(0.2899509370326996, 0.024601906538009644)
(0.2763613164424896, 0.08168724924325943),(0.2935493588447571, 0.025047048926353455)
(0.2763613164424896, 0.08168724924325943),(0.2925233542919159, 0.02367437444627285)
(0.2814435660839081, 0.07992255687713623),(0.2882029414176941, 0.02753545716404915)
(0.2795054316520691, 0.07537014782428741),(0.2833789587020874, 0.03288302570581436)
(0.2795054316520691, 0.07537014782428741),(0.2846279740333557, 0.030069701373577118)
(0.27413445711135864, 0.07983386516571045),(0.2837759852409363, 0.03125091642141342)
